"SKU","URL","Brand","Title","Size","Count","Characteristics","Details","Certifications","Color","Manufacturer","Reviews"
"1096252","https://www.projectn95.org/products/powecom-kn95-black-ear-loop-masks/","Powecom","Black Flat Fold KN95 Masks M/L","M/L","Pack of 10","Flat Fold,China,Earloop,KN95","  Made to New GB2626-2019 Standard  Product Features: Adjustable Nose Piece, Latex Free Ear Loops, Multi-Layer Filtration System   The Powecom® KN95 personal respirator, which ships from stock directly from our Mount Vernon, NY warehouse, is a respirator face mask made of a multi-layer filtration system of non-woven breathable fibers and is utilized globally. The Powecom® KN95 is manufactured by Guangzhou Powecom® Labor Insurance Supplies Co., LTD. Bona Fide Masks is the largest authorized distributor of Powecom® products in the US. The Powecom® KN95, made to the new standard, will be the same size, shape and use the same production process. The improvement will be from the new melt-blown polypropylene cotton filter layer which will upgrade the breathability factor (respiratory resistance) of the mask. This new enhancement will help make it easier to breathe for the user while still offering filter efficiency greater than 95%.    ","Made to New GB2626-2019 Standard","Black","","['5', 'Good fit flat fold', 'These fit my husband well (good seal for a kn95, ear straps were tight enough yet comfortable).'], ['5', 'Great masks!', 'Great masks that help us feel secure and safe!'], ['5', 'great fit and light weight', 'Just started using the mask today - the fit is excellent and it is lightweight. I was in a crowded subway so felt more comfortable knowing I had this mask.'], ['5', 'Excellent, great fit and comfortable and not as hard to breathe as N95', 'Excellent, great fit and comfortable and not as hard to breathe as N95. Review that says they break has not at all been my experience!'], ['5', 'These are my favorite masks', 'These are my favorite masks. They make a tight seal while not being uncomfortable. High quality construction. I feel well protected. When I have to wear a mask, these are my choice.']"
"1096496","https://www.projectn95.org/products/kingfa-kfaf04-kn95-mask-black/","KingFa","Flat Fold KN95 Masks L","L","Pack of 10, 50","Flat Fold,China,Earloop,KN95","  The Black Kingfa KN95 mask is a great option for large faces.     5-Ply Protective Layers (2 Polypropylene Non-Woven Layers, 2 Melt-blown Filter Cloths, and 1 Non-Woven Cotton Middle Layer). Each Box Contains 10 Sealed KN95 Earloop Masks. Meets GB2626-2019 standard.   Manufacturer: Kingfa  Dimensions: 9 in x 4.72 in   Shelf Life: 3 years      ","Meets GB2626-2019 standard","Black","Kingfa","['5', 'Fits well', 'After Costco stopped selling the masks my husband liked, I went on the hunt. I ordered 4 different similar types from Project n95. These and the Powecom were the winners. These fit him well (good size, right tightness on the straps), fold flat and were on sale. :)'], ['5', 'Great mask, fits well and is comfortable to wear!', 'We have been ordering this mask for several months and we keep them stocked in our vehicle glove box and pantry. They do the job, I wear mine in indoor spaces. ']"
"1096578","https://www.projectn95.org/products/black-flat-fold-kn95-mask-m-l/","WellBefore","Black Flat Fold KN95 Mask M/L","M/L","Pack of 10","Flat Fold,China,Earloop,KN95"," WellBefore's breathable KN95 masks offer five-layer protection with a super soft skin-friendly inside layer of fabric. For those who wear their mask all day, you’ll never need to worry about your KN95 masks slipping out of place. These masks come with reinforced elastic straps that are heat pressed to ensure they stay in place. This pack of individually wrapped KN95 masks are suitable protection against: - Air pollutants - Dust particles - Pollen - Allergens Manufacturer: Guangdong Marbon Daily & Chemical LTD | Color: BlackAdjustable Nose Clip: Yes | Individually Packaged: YesDimensions: 4.9' W x 6.1' L x 4.15' D (mask) | Type: GB2626-2019 KN95 Mask","","Black","",""
"1096296","https://www.projectn95.org/products/white-kn95-powecom-ear-loop-masks/","Powecom","White Flat Fold KN95 Masks M/L","M/L","Pack of 10","Flat Fold,China,Earloop,KN95","   Made to New GB2626-2019 Standard  Product Features: Adjustable Nose Piece, Latex Free Ear Loops, Multi-Layer Filtration System  Discounted pricing for higher quantities available.  The Powecom KN95 personal respirator, which ships from stock directly from our Mount Vernon, NY warehouse, is a respirator face mask made of a multi-layer filtration system of non-woven breathable fibers and is utilized globally. The Powecom KN95 is manufactured by Guangzhou Powecom Labor Insurance Supplies Co., LTD. Bona Fide Masks is the largest authorized distributor of Powecom products in the US. The Powecom KN95, made to the new standard, will be the same size, shape and use the same production process. The improvement will be from the new melt-blown polypropylene cotton filter layer which will upgrade the breathability factor (respiratory resistance) of the mask. This new enhancement will help make it easier to breathe for the user while still offering filter efficiency greater than 95%. MATERIAL:  46% non-woven polypropylene, 28% melt-blown fabric, 26% ES hot air cotton. Earloops: Latex-free Nose piece: Adjustable metal ","","White","","['5', 'it hurt but not bad ', 'i took my time to wear a mask and at the end see where  everything moved fast '], ['5', 'My Go-To Mask', 'As someone who is undergoing cancer treatment, I need a mask that fits well,  seals well, and is comfortable.  This mask does the job very well and has protected me from all viruses. I've re-ordered it several times and rely upon it.'], ['5', 'Best fit I've found in a flat-fold mask', 'The shaping of the mask over the nose seals well, prevents air leakage and fogging glasses. Strong metal nose strip holds shape, and the materiel folds around the strip to lay flat against the skin, making a good seal.']"
"1096756","https://www.projectn95.org/products/denim-3d-boat-shape-pro-adjustable-kn95-mask-m-l/","WellBefore","Denim 3D Boat Shape Pro Adjustable KN95 Mask M/L","M/L","Pack of 10","China,Earloop,Boat,KN95"," WellBefore has made some adjustments to the design of their well-known 3D KN95 masks to create a brand-new premium, comfortable, breathable, and protective mask for everyone to enjoy and benefit from. Taking the importance of a protective fit into consideration, this new design includes an aluminum nose pin and nose foam for the secure sealing of the mask to the face. These additions are the main differences between this new improved design. It includes adjustable ear loops that provide the ability to alter the mask until it perfectly forms on the face as protectively as possible. This KN95 mask is suitable protection against: - Air pollutants - Dust particles - Pollen - Allergens.    4 premium layers with advanced filter media, Ultra comfortable, easy to breathe through, premium filtration, Aluminum nose pin and soft nose foam for the secure sealing Standard adjustable elastic ear loops for a perfect fit Particulate filtration efficiency greater than or equal to 95% Masks are individually wrapped.   Manufacturer: Guangdong Marbon Daily & Chemical LTD | Color: DenimAdjustable Nose Clip: Yes | Type: GB2626-2019 KN95 Mask","GB2626-2019","Blue","Guangdong Marbon Daily & Chemical LTD",""
"1096497","https://www.projectn95.org/products/flat-fold-kfaf04-kn95-white-mask/","KingFa","White Flat Fold KN95 Masks L","L","Pack of 10+","Flat Fold,China,Earloop,KN95","  Product Features:  5-Ply Protective Layers (2 Polypropylene Non-Woven Layers, 2 Meltblown Filter Cloths, and 1 Non-Woven Cotton Middle Layer) Each Box Contains 10 Sealed KN95 Earloop Masks Meets GB2626-2019 standard     Manufacturer: Kingfa   Shelf Life: 3 Years  ","Meets GB2626-2019 standard","White","","['5', 'Runs small', 'The ear loops are a little tighter than other KN95's I've used. I suppose this makes them less susceptible to stretching out but also makes them hurt a bit more at first.']"
"1096577","https://www.projectn95.org/products/wellbefore-white-flat-fold-kn95-mask-m-l/","WellBefore","White Flat Fold KN95 Mask M/L","M/L","Pack of 10","Flat Fold,China,Earloop,KN95"," WellBefore's breathable KN95 masks offer five-layer protection with a super soft skin-friendly inside layer of fabric. For those who wear their mask all day, you’ll never need to worry about your KN95 masks slipping out of place. These masks come with reinforced elastic straps that are heat pressed to ensure they stay in place. This pack of individually wrapped KN95 masks are suitable protection against: - Air pollutants - Dust particles - Pollen - Allergens Manufacturer: Guangdong Marbon Daily & Chemical LTD | Color: WhiteAdjustable Nose Clip: Yes | Individually Packaged: YesType: ","Standard  Type: GB2626-2019 KN95 Mask","White","",""
"1096728","https://www.projectn95.org/products/denim-flat-fold-kn95-mask-m-l/","WellBefore","Denim Flat Fold KN95 Mask M/L","M/L","Pack of 10","Flat Fold,China,Earloop,KN95"," WellBefore's breathable KN95 masks offer five-layer protection with a super soft skin-friendly inside layer of fabric. For those who wear their mask all day, you’ll never need to worry about your KN95 masks slipping out of place. These masks come with reinforced elastic straps that are heat pressed to ensure they stay in place. This pack of individually wrapped KN95 masks is suitable protection against: - Air pollutants - Dust particles - Pollen - Allergens Manufacturer: Guangdong Marbon Daily & Chemical LTD | Color: DenimAdjustable Nose Clip: Yes | Individually Packaged: YesDimensions: 4.9' W x 6.1' L x 4.15' D (mask) | Type: GB2626-2019 KN95 Mask","GB2626-2019","Blue","Guangdong Marbon Daily & Chemical Ltd.",""
"1096351","https://www.projectn95.org/products/children-s-sized-white-kn95-sm-respirator-mask-10-count-bona-fide-masks/","Powecom","Flat Fold KN95 Masks Kids","Kids","Pack of 10","Flat Fold,China,Earloop,KN95","  Product Features: The Powecom KN95 personal respirator, which ships from stock directly from our Mount Vernon, NY warehouse, is a respirator face mask made of a multi-layer filtration system of non-woven breathable fibers and is utilized globally. The Powecom KN95 is manufactured by Guangzhou Powecom Labor Insurance Supplies Co., LTD. ","GB2626-2019","White","","['5', 'Finally...!!!!', 'I love these masks. Even my 10yo daughter came home from school and said, I could tell these were good masks! They fit her small face very well.']"
"1096585","https://www.projectn95.org/products/bnx-flat-fold-kn95-e95s-masks-black/","BNX Converting LLC","Flat Fold KN95 Masks Small Black","Kids","Pack of 20","Flat Fold,Earloop,US/Global,KN95","Masks that are manufactured by BNX Converting LLC in Houston, TX. Manufactured in the USA from globally sourced components.  BNX filtration technology provides maximum protection, comfort, and breathability. The active filter layer is composed of ultra-high-grade melt-blown polypropylene. Latex-free design with ear loop straps that are sonically bonded for integrity and strength. An adjustable metal nose piece allows for a tight seal which helps to protect against airborne particles. Please follow all recommended fitting instructions and guidelines to ensure proper personal protection. Flat-fold ear loop mask design allows for convenient storage prior to use. Ideal for use in crowded or contaminated areas such as commercial buildings, construction, design & construction, food processing, food safety, general manufacturing, heavy infrastructure, mining, oil & gas, transportation, etc.  Manufacturer: BNX Converting LLC |Adjustable Nose Clip: Yes | Individually Packaged: No | Shelf Life: Use by date printed on the package","","Black","BNX Converting LLC",""
